County,Date,DailyCount,DailyDelta,LastUpdateDate
Andrews,2020-04-11,11,0,2020-06-18
Andrews,2020-04-12,11,0,2020-06-18
Andrews,2020-04-13,12,1,2020-06-18
Andrews,2020-04-14,13,1,2020-06-18
Andrews,2020-04-15,13,0,2020-06-18
Andrews,2020-04-16,19,6,2020-06-18
Andrews,2020-04-17,19,0,2020-06-18
Andrews,2020-04-18,19,0,2020-06-18
Andrews,2020-04-19,19,0,2020-06-18
Andrews,2020-04-20,19,0,2020-06-18
Andrews,2020-04-21,19,0,2020-06-18
Andrews,2020-04-22,19,0,2020-06-18
Andrews,2020-04-23,19,0,2020-06-18
Andrews,2020-04-24,19,0,2020-06-18
Andrews,2020-04-25,19,0,2020-06-18
Andrews,2020-04-26,19,0,2020-06-18
Andrews,2020-04-27,19,0,2020-06-18
Andrews,2020-04-28,19,0,2020-06-18
Andrews,2020-04-29,19,0,2020-06-18
Andrews,2020-04-30,19,0,2020-06-18
Andrews,2020-05-01,20,1,2020-06-18
Andrews,2020-05-02,20,0,2020-06-18
Andrews,2020-05-03,21,1,2020-06-18
Andrews,2020-05-04,21,0,2020-06-18
Andrews,2020-05-05,21,0,2020-06-18
Andrews,2020-05-06,21,0,2020-06-18
Andrews,2020-05-07,21,0,2020-06-18
Andrews,2020-05-08,21,0,2020-06-18
Andrews,2020-05-09,21,0,2020-06-18
Andrews,2020-05-10,21,0,2020-06-18
Andrews,2020-05-11,21,0,2020-06-18
Andrews,2020-05-12,22,1,2020-06-18
Andrews,2020-05-13,22,0,2020-06-18
Andrews,2020-05-14,22,0,2020-06-18
Andrews,2020-05-15,22,0,2020-06-18
Andrews,2020-05-16,22,0,2020-06-18
Andrews,2020-05-17,22,0,2020-06-18
Andrews,2020-05-18,22,0,2020-06-18
Andrews,2020-05-19,22,0,2020-06-18
Andrews,2020-05-20,22,0,2020-06-18
Andrews,2020-05-21,22,0,2020-06-18
Andrews,2020-05-22,23,1,2020-06-18
Andrews,2020-05-23,23,0,2020-06-18
Andrews,2020-05-24,24,1,2020-06-18
Andrews,2020-05-25,27,3,2020-06-18
Andrews,2020-05-26,27,0,2020-06-18
Andrews,2020-05-27,27,0,2020-06-18
Andrews,2020-05-28,27,0,2020-06-18
Andrews,2020-05-29,27,0,2020-06-18
Andrews,2020-05-30,27,0,2020-06-18
Andrews,2020-05-31,27,0,2020-06-18
Andrews,2020-06-01,27,0,2020-06-18
Andrews,2020-06-02,27,0,2020-06-18
Andrews,2020-06-03,27,0,2020-06-18
Andrews,2020-06-04,27,0,2020-06-18
Andrews,2020-06-05,27,0,2020-06-18
Andrews,2020-06-06,27,0,2020-06-18
Andrews,2020-06-07,27,0,2020-06-18
Andrews,2020-06-08,27,0,2020-06-18
Andrews,2020-06-09,27,0,2020-06-18
Andrews,2020-06-10,27,0,2020-06-18
Andrews,2020-06-11,27,0,2020-06-18
Andrews,2020-06-12,27,0,2020-06-18
Andrews,2020-06-13,28,1,2020-06-18
Andrews,2020-06-14,28,0,2020-06-18
Andrews,2020-06-15,28,0,2020-06-18
Andrews,2020-06-16,30,2,2020-06-18
Andrews,2020-06-17,30,0,2020-06-18
Angelina,2020-03-04,0,,2020-06-18
Angelina,2020-03-05,0,0,2020-06-18
Angelina,2020-03-06,0,0,2020-06-18
Angelina,2020-03-09,0,0,2020-06-18
Angelina,2020-03-10,0,0,2020-06-18
Angelina,2020-03-11,0,0,2020-06-18
Angelina,2020-03-12,0,0,2020-06-18
Angelina,2020-03-13,0,0,2020-06-18
Angelina,2020-03-15,0,0,2020-06-18
Angelina,2020-03-16,0,0,2020-06-18
Angelina,2020-03-17,0,0,2020-06-18
Angelina,2020-03-18,0,0,2020-06-18
Angelina,2020-03-19,0,0,2020-06-18
Angelina,2020-03-20,0,0,2020-06-18
Angelina,2020-03-21,0,0,2020-06-18
Angelina,2020-03-22,0,0,2020-06-18
Angelina,2020-03-23,0,0,2020-06-18
Angelina,2020-03-24,0,0,2020-06-18
Angelina,2020-03-25,0,0,2020-06-18
Angelina,2020-03-26,1,1,2020-06-18
Angelina,2020-03-27,1,0,2020-06-18
Angelina,2020-03-28,1,0,2020-06-18
Angelina,2020-03-29,3,2,2020-06-18
Angelina,2020-03-30,3,0,2020-06-18
Angelina,2020-03-31,4,1,2020-06-18
Angelina,2020-04-01,5,1,2020-06-18
Angelina,2020-04-02,5,0,2020-06-18
Angelina,2020-04-03,8,3,2020-06-18
Angelina,2020-04-04,10,2,2020-06-18
Angelina,2020-04-05,10,0,2020-06-18
Angelina,2020-04-06,14,4,2020-06-18
Angelina,2020-04-07,14,0,2020-06-18
Angelina,2020-04-08,14,0,2020-06-18
Angelina,2020-04-09,15,1,2020-06-18
Angelina,2020-04-10,16,1,2020-06-18
Angelina,2020-04-11,16,0,2020-06-18
Angelina,2020-04-12,16,0,2020-06-18
Angelina,2020-04-13,16,0,2020-06-18
Angelina,2020-04-14,17,1,2020-06-18
Angelina,2020-04-15,17,0,2020-06-18
Angelina,2020-04-16,20,3,2020-06-18
Angelina,2020-04-17,23,3,2020-06-18
Angelina,2020-04-18,23,0,2020-06-18
Angelina,2020-04-19,23,0,2020-06-18
Angelina,2020-04-20,23,0,2020-06-18
Angelina,2020-04-21,27,4,2020-06-18
Angelina,2020-04-22,30,3,2020-06-18
Angelina,2020-04-23,31,1,2020-06-18
Angelina,2020-04-24,33,2,2020-06-18
Angelina,2020-04-25,36,3,2020-06-18
Angelina,2020-04-26,36,0,2020-06-18
Angelina,2020-04-27,36,0,2020-06-18
Angelina,2020-04-28,46,10,2020-06-18
Angelina,2020-04-29,49,3,2020-06-18
Angelina,2020-04-30,53,4,2020-06-18
Angelina,2020-05-01,54,1,2020-06-18
Angelina,2020-05-02,55,1,2020-06-18
Angelina,2020-05-03,55,0,2020-06-18
Angelina,2020-05-04,55,0,2020-06-18
Angelina,2020-05-05,79,24,2020-06-18
Angelina,2020-05-06,86,7,2020-06-18
Angelina,2020-05-07,93,7,2020-06-18
Angelina,2020-05-08,100,7,2020-06-18
Angelina,2020-05-09,100,0,2020-06-18
Angelina,2020-05-10,100,0,2020-06-18
Angelina,2020-05-11,100,0,2020-06-18
Angelina,2020-05-12,117,17,2020-06-18
Angelina,2020-05-13,117,0,2020-06-18
Angelina,2020-05-14,119,2,2020-06-18
Angelina,2020-05-15,131,12,2020-06-18
Angelina,2020-05-16,139,8,2020-06-18
Angelina,2020-05-17,139,0,2020-06-18
