TSA_ID,TSA_Name,Date,DailyCount,DailyDelta,LastUpdateDate
A,Amarillo,2020-04-12,0.0407673860911271,,2020-09-25
A,Amarillo,2020-04-13,0.03981264637002342,-9.547397211036798e-4,2020-09-25
A,Amarillo,2020-04-14,0.0368763557483731,-0.0029362906216503226,2020-09-25
A,Amarillo,2020-04-15,0.12422360248447205,0.08734724673609895,2020-09-25
A,Amarillo,2020-04-16,0.034482758620689655,-0.0897408438637824,2020-09-25
A,Amarillo,2020-04-17,0.0433996383363472,0.008916879715657543,2020-09-25
A,Amarillo,2020-04-18,0.03302752293577982,-0.010372115400567379,2020-09-25
A,Amarillo,2020-04-19,0.06542056074766354,0.032393037811883726,2020-09-25
A,Amarillo,2020-04-20,0.05944055944055944,-0.005980001307104105,2020-09-25
A,Amarillo,2020-04-21,0.05944055944055944,0,2020-09-25
A,Amarillo,2020-04-22,0.07360861759425494,0.014168058153695498,2020-09-25
A,Amarillo,2020-04-23,0.06754530477759473,-0.006063312816660213,2020-09-25
A,Amarillo,2020-04-24,0.060790273556231005,-0.006755031221363721,2020-09-25
A,Amarillo,2020-04-25,0.07109737248840804,0.010307098932177038,2020-09-25
A,Amarillo,2020-04-26,0.09104938271604938,0.019952010227641342,2020-09-25
A,Amarillo,2020-04-27,0.09696969696969697,0.005920314253647585,2020-09-25
A,Amarillo,2020-04-28,0.10014947683109118,0.0031797798613942135,2020-09-25
A,Amarillo,2020-04-29,0.13015873015873017,0.030009253327638985,2020-09-25
A,Amarillo,2020-04-30,0.1414141414141414,0.01125541125541124,2020-09-25
A,Amarillo,2020-05-01,0.14380165289256197,0.002387511478420562,2020-09-25
A,Amarillo,2020-05-02,0.1511627906976744,0.007361137805112439,2020-09-25
A,Amarillo,2020-05-03,0.1784452296819788,0.02728243898430438,2020-09-25
A,Amarillo,2020-05-04,0.1646234676007005,-0.013821762081278277,2020-09-25
A,Amarillo,2020-05-05,0.15126050420168066,-0.01336296339901985,2020-09-25
A,Amarillo,2020-05-06,0.15711947626841244,0.005858972066731777,2020-09-25
A,Amarillo,2020-05-07,0.17898193760262726,0.021862461334214822,2020-09-25
A,Amarillo,2020-05-08,0.16944024205748864,-0.009541695545138618,2020-09-25
A,Amarillo,2020-05-09,0.165402124430956,-0.004038117626532639,2020-09-25
A,Amarillo,2020-05-10,0.12075029308323564,-0.04465183134772037,2020-09-25
A,Amarillo,2020-05-11,0.12373737373737374,0.002987080654138108,2020-09-25
A,Amarillo,2020-05-12,0.16123499142367068,0.03749761768629693,2020-09-25
A,Amarillo,2020-05-13,0.13553719008264462,-0.02569780134102606,2020-09-25
A,Amarillo,2020-05-14,0.12942989214175654,-0.006107297940888073,2020-09-25
A,Amarillo,2020-05-15,0.12172573189522343,-0.007704160246533115,2020-09-25
A,Amarillo,2020-05-16,0.1225114854517611,7.857535565376772e-4,2020-09-25
A,Amarillo,2020-05-17,0.11009174311926606,-0.012419742332495043,2020-09-25
A,Amarillo,2020-05-18,0.10967741935483871,-4.1432376442734897e-4,2020-09-25
A,Amarillo,2020-05-19,0.11308562197092084,0.003408202616082129,2020-09-25
A,Amarillo,2020-05-20,0.1166407465007776,0.0035551245298567624,2020-09-25
A,Amarillo,2020-05-21,0.09388971684053651,-0.02275102966024109,2020-09-25
A,Amarillo,2020-05-22,0.08042488619119878,-0.013464830649337733,2020-09-25
A,Amarillo,2020-05-23,0.08283132530120482,0.0024064391100060423,2020-09-25
A,Amarillo,2020-05-24,0.08986928104575163,0.007037955744546812,2020-09-25
A,Amarillo,2020-05-25,0.09322033898305085,0.003351057937299215,2020-09-25
A,Amarillo,2020-05-26,0.10338983050847457,0.010169491525423721,2020-09-25
A,Amarillo,2020-05-27,0.09640522875816994,-0.006984601750304631,2020-09-25
A,Amarillo,2020-05-28,0.09473684210526316,-0.0016683866529067781,2020-09-25
A,Amarillo,2020-05-29,0.03513909224011713,-0.05959774986514603,2020-09-25
A,Amarillo,2020-05-30,0.0847953216374269,0.049656229397309765,2020-09-25
A,Amarillo,2020-05-31,0.06372549019607843,-0.02106983144134847,2020-09-25
A,Amarillo,2020-06-01,0.07979626485568761,0.016070774659609183,2020-09-25
A,Amarillo,2020-06-02,0.07550335570469799,-0.004292909150989621,2020-09-25
A,Amarillo,2020-06-03,0.07255520504731862,-0.0029481506573793698,2020-09-25
A,Amarillo,2020-06-04,0.058823529411764705,-0.013731675635553914,2020-09-25
A,Amarillo,2020-06-05,0.04983922829581994,-0.008984301115944768,2020-09-25
A,Amarillo,2020-06-06,0.05,1.6077170418006548e-4,2020-09-25
A,Amarillo,2020-06-07,0.048589341692789965,-0.0014106583072100373,2020-09-25
A,Amarillo,2020-06-08,0.04528985507246377,-0.0032994866203261974,2020-09-25
A,Amarillo,2020-06-09,0.05025996533795494,0.0049701102654911705,2020-09-25
A,Amarillo,2020-06-10,0.0377643504531722,-0.012495614884782735,2020-09-25
A,Amarillo,2020-06-11,0.03412462908011869,-0.0036397213730535102,2020-09-25
A,Amarillo,2020-06-12,0.025185185185185185,-0.008939443894933508,2020-09-25
A,Amarillo,2020-06-13,0.026785714285714284,0.0016005291005290988,2020-09-25
A,Amarillo,2020-06-14,0.02526002971768202,-0.001525684568032263,2020-09-25
A,Amarillo,2020-06-15,0.02872531418312388,0.0034652844654418577,2020-09-25
A,Amarillo,2020-06-16,0.04084967320261438,0.0121243590194905,2020-09-25
A,Amarillo,2020-06-17,0.03372434017595308,-0.007125333026661303,2020-09-25
A,Amarillo,2020-06-18,0.03468208092485549,9.577407489024109e-4,2020-09-25
