TSA_ID,TSA_Name,Date,DailyCount,DailyDelta,LastUpdateDate
B,Lubbock,2020-04-27,533,21,2020-07-25
B,Lubbock,2020-04-28,501,-32,2020-07-25
B,Lubbock,2020-04-29,484,-17,2020-07-25
B,Lubbock,2020-04-30,477,-7,2020-07-25
B,Lubbock,2020-05-01,483,6,2020-07-25
B,Lubbock,2020-05-02,453,-30,2020-07-25
B,Lubbock,2020-05-03,496,43,2020-07-25
B,Lubbock,2020-05-04,553,57,2020-07-25
B,Lubbock,2020-05-05,540,-13,2020-07-25
B,Lubbock,2020-05-06,500,-40,2020-07-25
B,Lubbock,2020-05-07,491,-9,2020-07-25
B,Lubbock,2020-05-08,485,-6,2020-07-25
B,Lubbock,2020-05-09,523,38,2020-07-25
B,Lubbock,2020-05-10,530,7,2020-07-25
B,Lubbock,2020-05-11,560,30,2020-07-25
B,Lubbock,2020-05-12,521,-39,2020-07-25
B,Lubbock,2020-05-13,512,-9,2020-07-25
B,Lubbock,2020-05-14,458,-54,2020-07-25
B,Lubbock,2020-05-15,479,21,2020-07-25
B,Lubbock,2020-05-16,473,-6,2020-07-25
B,Lubbock,2020-05-17,562,89,2020-07-25
B,Lubbock,2020-05-18,569,7,2020-07-25
B,Lubbock,2020-05-19,558,-11,2020-07-25
B,Lubbock,2020-05-20,483,-75,2020-07-25
B,Lubbock,2020-05-21,449,-34,2020-07-25
B,Lubbock,2020-05-22,465,16,2020-07-25
B,Lubbock,2020-05-23,538,73,2020-07-25
B,Lubbock,2020-05-24,511,-27,2020-07-25
B,Lubbock,2020-05-25,512,1,2020-07-25
B,Lubbock,2020-05-26,466,-46,2020-07-25
B,Lubbock,2020-05-27,535,69,2020-07-25
B,Lubbock,2020-05-28,467,-68,2020-07-25
B,Lubbock,2020-05-29,461,-6,2020-07-25
B,Lubbock,2020-05-30,408,-53,2020-07-25
B,Lubbock,2020-05-31,402,-6,2020-07-25
B,Lubbock,2020-06-01,446,44,2020-07-25
B,Lubbock,2020-06-02,435,-11,2020-07-25
B,Lubbock,2020-06-03,423,-12,2020-07-25
B,Lubbock,2020-06-04,364,-59,2020-07-25
B,Lubbock,2020-06-05,374,10,2020-07-25
B,Lubbock,2020-06-06,387,13,2020-07-25
B,Lubbock,2020-06-07,468,81,2020-07-25
B,Lubbock,2020-06-08,418,-50,2020-07-25
B,Lubbock,2020-06-09,424,6,2020-07-25
B,Lubbock,2020-06-10,408,-16,2020-07-25
B,Lubbock,2020-06-11,403,-5,2020-07-25
B,Lubbock,2020-06-12,391,-12,2020-07-25
B,Lubbock,2020-06-13,393,2,2020-07-25
B,Lubbock,2020-06-14,388,-5,2020-07-25
B,Lubbock,2020-06-15,456,68,2020-07-25
B,Lubbock,2020-06-16,435,-21,2020-07-25
B,Lubbock,2020-06-17,394,-41,2020-07-25
B,Lubbock,2020-06-18,381,-13,2020-07-25
B,Lubbock,2020-06-19,379,-2,2020-07-25
B,Lubbock,2020-06-20,347,-32,2020-07-25
B,Lubbock,2020-06-21,410,63,2020-07-25
B,Lubbock,2020-06-22,426,16,2020-07-25
B,Lubbock,2020-06-23,403,-23,2020-07-25
B,Lubbock,2020-06-24,359,-44,2020-07-25
B,Lubbock,2020-06-25,369,10,2020-07-25
B,Lubbock,2020-06-26,367,-2,2020-07-25
B,Lubbock,2020-06-27,346,-21,2020-07-25
B,Lubbock,2020-06-28,347,1,2020-07-25
B,Lubbock,2020-06-29,357,10,2020-07-25
B,Lubbock,2020-06-30,368,11,2020-07-25
B,Lubbock,2020-07-01,340,-28,2020-07-25
B,Lubbock,2020-07-02,324,-16,2020-07-25
B,Lubbock,2020-07-03,308,-16,2020-07-25
B,Lubbock,2020-07-04,382,74,2020-07-25
B,Lubbock,2020-07-05,413,31,2020-07-25
B,Lubbock,2020-07-06,391,-22,2020-07-25
B,Lubbock,2020-07-07,389,-2,2020-07-25
B,Lubbock,2020-07-08,335,-54,2020-07-25
